link,cena,kategorija,transakcija,grad,opstina,kvadratura,godinaizgradnje,stanjenekretnine,povrsinazemljista,ukupanbrojspratova,spratnost,uknjizeno,tipgrejanja,brsoba,brkupatila,parking,lift,terasa,lodja,balkon,sigurnost,id,udaljenost_od_centra
https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-bw-sole-10-35m2-0eur/Nke7-zUmv-d/,1,Stan,Prodaja,Beograd,"Beograd na vodi",35,NULL,"Standardna gradnja",NULL,NULL,5,0,"Centralno grejanje",1,NULL,0,0,0,0,0,0,8,1.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-bw-scala-20-54m2-0eur/NkRANKdCmk0/,1,Stan,Prodaja,Beograd,"Beograd na vodi",54,NULL,Novogradnja,NULL,NULL,3,0,"Centralno grejanje",2,NULL,0,1,1,0,0,0,9,1.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-bw-scala-30-72m2-0eur/NkBrrflKbFL/,1,Stan,Prodaja,Beograd,"Beograd na vodi",72,NULL,Novogradnja,NULL,NULL,3,0,"Centralno grejanje",3,NULL,0,1,1,0,0,0,10,1.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-bw-sole-20-74m2-0eur/Nk8fCYMcsft/,1,Stan,Prodaja,Beograd,"Beograd na vodi",74,NULL,"Standardna gradnja",NULL,NULL,5,0,"Centralno grejanje",2,NULL,0,0,0,0,0,0,11,1.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/kaludjerica-lestane-novogradnja-45m2/Nkh27Xdh4wY/,1100,Stan,Prodaja,Beograd,Grocka,45,NULL,Novogradnja,NULL,2,2,1,"Etažno grejanje na struju",NULL,1,0,0,1,0,0,0,7046,25.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-zagrade-20-49m2-1150eur/Nkbjsj8rk5n/,1150,Stan,Prodaja,Beograd,"Mirijevo I",49,NULL,"U izgradnji",NULL,3,0,0,NULL,2,NULL,0,0,0,0,0,0,7060,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/direktna-prodaja-stanova-investitor/NkEdaT1mguG/,1300,Stan,Prodaja,Beograd,Ledine,36,NULL,Novogradnja,NULL,4,1,0,"Centralno grejanje",2,1,1,1,1,1,1,5,7383,10.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajem-lux-stan-zvezdara-olimp-vojvode-blazete-32-46-20-m2/NkDrmfbhLGu/,1700,Stan,Prodaja,Beograd,Zvezdara,94,2020,NULL,NULL,6,3,0,NULL,2,NULL,1,0,1,0,0,0,7796,7.3
https://www.nekretnine.rs/stambeni-objekti/stanovi/extra-extra-lux-stanovi-na-vozdovcu-bez-provizije/147364/,1750,Stan,Prodaja,Beograd,Voždovac,78,NULL,Novogradnja,NULL,4,0,1,"Klima uređaj, Ostalo",3,NULL,1,1,1,0,0,1,7809,4.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/lekino-brdo-vracar-prodajem-kvalitetan-stan-od-98m2-sa-panorama-pogledom-de-lux-kategorija-cena-povoljna-od-super-investitora-/NkjAsFSNq5a/,1800,Stan,Prodaja,Beograd,"Lekino brdo",98,2019,Novogradnja,NULL,5,0,1,"TA peć",NULL,NULL,1,1,1,1,1,0,7894,4.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/extra-lux-stan-sa-dvoristem-bez-provizije/NkJIU7S_wPd/,1850,Stan,Prodaja,Beograd,Voždovac,119,2019,Novogradnja,NULL,NULL,0,0,"TA peć",4,NULL,0,0,1,0,0,0,7897,4.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-novi-beograd-vojvodanska-12-id1002/Nk1SWnopKay/,1980,Stan,Prodaja,Beograd,"Novi Beograd Blok 49",55,2021,Novogradnja,NULL,6,1,0,"Centralno grejanje",2,1,1,1,0,0,1,0,7916,6.9
